"","state","date","confirmed","deaths","recovered","type"
"991","Queensland",2020-03-18,16,0,0,"daily"
"992","South Australia",2020-03-18,8,0,0,"daily"
"993","Western Australia",2020-03-18,4,0,0,"daily"
"994","Tasmania",2020-03-18,3,0,0,"daily"
"995","Northern Territory",2020-03-18,0,0,0,"daily"
"996","Australian Capital Territory",2020-03-18,1,0,0,"daily"
"997","New South Wales",2020-03-19,40,0,0,"daily"
"998","Victoria",2020-03-19,0,0,0,"daily"
"999","Queensland",2020-03-19,50,0,0,"daily"
"1000","South Australia",2020-03-19,5,0,0,"daily"
"1001","Western Australia",2020-03-19,17,0,0,"daily"
"1002","Tasmania",2020-03-19,0,0,3,"daily"
"1003","Northern Territory",2020-03-19,0,0,0,"daily"
"1004","Australian Capital Territory",2020-03-19,1,0,0,"daily"
"1005","New South Wales",2020-03-20,46,1,0,"daily"
"1006","Victoria",2020-03-20,0,0,0,"daily"
"1007","Queensland",2020-03-20,40,0,0,"daily"
"1008","South Australia",2020-03-20,8,0,0,"daily"
"1009","Western Australia",2020-03-20,12,0,0,"daily"
"1010","Tasmania",2020-03-20,0,0,0,"daily"
"1011","Northern Territory",2020-03-20,2,0,0,"daily"
"1012","Australian Capital Territory",2020-03-20,2,0,0,"daily"
"1013","New South Wales",2020-03-21,83,0,0,"daily"
"1014","Victoria",2020-03-21,108,0,0,"daily"
"1015","Queensland",2020-03-21,37,0,0,"daily"
"1016","South Australia",2020-03-21,17,0,0,"daily"
"1017","Western Australia",2020-03-21,26,0,0,"daily"
"1018","Tasmania",2020-03-21,6,0,0,"daily"
"1019","Northern Territory",2020-03-21,0,0,0,"daily"
"1020","Australian Capital Territory",2020-03-21,3,0,0,"daily"
"1021","National",2020-01-22,NA,NA,NA,"daily"
"1022","National",2020-01-23,0,0,0,"daily"
"1023","National",2020-01-24,0,0,0,"daily"
"1024","National",2020-01-25,0,0,0,"daily"
"1025","National",2020-01-26,4,0,0,"daily"
"1026","National",2020-01-27,1,0,0,"daily"
"1027","National",2020-01-28,0,0,0,"daily"
"1028","National",2020-01-29,1,0,0,"daily"
"1029","National",2020-01-30,3,0,2,"daily"
"1030","National",2020-01-31,0,0,0,"daily"
"1031","National",2020-02-01,3,0,0,"daily"
"1032","National",2020-02-02,0,0,0,"daily"
"1033","National",2020-02-03,0,0,0,"daily"
"1034","National",2020-02-04,1,0,0,"daily"
"1035","National",2020-02-05,0,0,0,"daily"
"1036","National",2020-02-06,1,0,0,"daily"
"1037","National",2020-02-07,1,0,0,"daily"
"1038","National",2020-02-08,0,0,0,"daily"
"1039","National",2020-02-09,0,0,0,"daily"
"1040","National",2020-02-10,0,0,0,"daily"
"1041","National",2020-02-11,0,0,0,"daily"
"1042","National",2020-02-12,0,0,0,"daily"
"1043","National",2020-02-13,0,0,6,"daily"
"1044","National",2020-02-14,0,0,0,"daily"
"1045","National",2020-02-15,0,0,0,"daily"
"1046","National",2020-02-16,0,0,0,"daily"
"1047","National",2020-02-17,0,0,2,"daily"
"1048","National",2020-02-18,0,0,0,"daily"
"1049","National",2020-02-19,0,0,0,"daily"
"1050","National",2020-02-20,0,0,0,"daily"
"1051","National",2020-02-21,0,0,1,"daily"
"1052","National",2020-02-22,0,0,0,"daily"
"1053","National",2020-02-23,0,0,0,"daily"
"1054","National",2020-02-24,0,0,0,"daily"
"1055","National",2020-02-25,0,0,0,"daily"
"1056","National",2020-02-26,0,0,0,"daily"
"1057","National",2020-02-27,0,0,0,"daily"
"1058","National",2020-02-28,0,0,0,"daily"
"1059","National",2020-02-29,10,0,0,"daily"
"1060","National",2020-03-01,2,1,0,"daily"
"1061","National",2020-03-02,3,0,0,"daily"
"1062","National",2020-03-03,9,0,0,"daily"
"1063","National",2020-03-04,13,1,0,"daily"
"1064","National",2020-03-05,3,0,10,"daily"
"1065","National",2020-03-06,5,0,0,"daily"
"1066","National",2020-03-07,3,0,0,"daily"
"1067","National",2020-03-08,13,1,0,"daily"
"1068","National",2020-03-09,15,0,0,"daily"
"1069","National",2020-03-10,16,0,0,"daily"
"1070","National",2020-03-11,21,0,0,"daily"
"1071","National",2020-03-12,0,0,0,"daily"
"1072","National",2020-03-13,72,0,2,"daily"
"1073","National",2020-03-14,50,0,0,"daily"
"1074","National",2020-03-15,47,0,0,"daily"
"1075","National",2020-03-16,80,0,0,"daily"
"1076","National",2020-03-17,75,2,0,"daily"
"1077","National",2020-03-18,116,1,0,"daily"
"1078","National",2020-03-19,113,0,3,"daily"
"1079","National",2020-03-20,110,1,0,"daily"
"1080","National",2020-03-21,280,0,0,"daily"
