"","state","date","confirmed","deaths","recovered","type"
"235","Queensland",2020-02-20,5,0,0,"cumulative"
"236","South Australia",2020-02-20,2,0,2,"cumulative"
"237","Western Australia",2020-02-20,0,0,0,"cumulative"
"238","Tasmania",2020-02-20,0,0,0,"cumulative"
"239","Northern Territory",2020-02-20,0,0,0,"cumulative"
"240","Australian Capital Territory",2020-02-20,0,0,0,"cumulative"
"241","New South Wales",2020-02-21,4,0,4,"cumulative"
"242","Victoria",2020-02-21,4,0,4,"cumulative"
"243","Queensland",2020-02-21,5,0,1,"cumulative"
"244","South Australia",2020-02-21,2,0,2,"cumulative"
"245","Western Australia",2020-02-21,0,0,0,"cumulative"
"246","Tasmania",2020-02-21,0,0,0,"cumulative"
"247","Northern Territory",2020-02-21,0,0,0,"cumulative"
"248","Australian Capital Territory",2020-02-21,0,0,0,"cumulative"
"249","New South Wales",2020-02-22,4,0,4,"cumulative"
"250","Victoria",2020-02-22,4,0,4,"cumulative"
"251","Queensland",2020-02-22,5,0,1,"cumulative"
"252","South Australia",2020-02-22,2,0,2,"cumulative"
"253","Western Australia",2020-02-22,0,0,0,"cumulative"
"254","Tasmania",2020-02-22,0,0,0,"cumulative"
"255","Northern Territory",2020-02-22,0,0,0,"cumulative"
"256","Australian Capital Territory",2020-02-22,0,0,0,"cumulative"
"257","New South Wales",2020-02-23,4,0,4,"cumulative"
"258","Victoria",2020-02-23,4,0,4,"cumulative"
"259","Queensland",2020-02-23,5,0,1,"cumulative"
"260","South Australia",2020-02-23,2,0,2,"cumulative"
"261","Western Australia",2020-02-23,0,0,0,"cumulative"
"262","Tasmania",2020-02-23,0,0,0,"cumulative"
"263","Northern Territory",2020-02-23,0,0,0,"cumulative"
"264","Australian Capital Territory",2020-02-23,0,0,0,"cumulative"
"265","New South Wales",2020-02-24,4,0,4,"cumulative"
"266","Victoria",2020-02-24,4,0,4,"cumulative"
"267","Queensland",2020-02-24,5,0,1,"cumulative"
"268","South Australia",2020-02-24,2,0,2,"cumulative"
"269","Western Australia",2020-02-24,0,0,0,"cumulative"
"270","Tasmania",2020-02-24,0,0,0,"cumulative"
"271","Northern Territory",2020-02-24,0,0,0,"cumulative"
"272","Australian Capital Territory",2020-02-24,0,0,0,"cumulative"
"273","New South Wales",2020-02-25,4,0,4,"cumulative"
"274","Victoria",2020-02-25,4,0,4,"cumulative"
"275","Queensland",2020-02-25,5,0,1,"cumulative"
"276","South Australia",2020-02-25,2,0,2,"cumulative"
"277","Western Australia",2020-02-25,0,0,0,"cumulative"
"278","Tasmania",2020-02-25,0,0,0,"cumulative"
"279","Northern Territory",2020-02-25,0,0,0,"cumulative"
"280","Australian Capital Territory",2020-02-25,0,0,0,"cumulative"
"281","New South Wales",2020-02-26,4,0,4,"cumulative"
"282","Victoria",2020-02-26,4,0,4,"cumulative"
"283","Queensland",2020-02-26,5,0,1,"cumulative"
"284","South Australia",2020-02-26,2,0,2,"cumulative"
"285","Western Australia",2020-02-26,0,0,0,"cumulative"
"286","Tasmania",2020-02-26,0,0,0,"cumulative"
"287","Northern Territory",2020-02-26,0,0,0,"cumulative"
"288","Australian Capital Territory",2020-02-26,0,0,0,"cumulative"
"289","New South Wales",2020-02-27,4,0,4,"cumulative"
"290","Victoria",2020-02-27,4,0,4,"cumulative"
"291","Queensland",2020-02-27,5,0,1,"cumulative"
"292","South Australia",2020-02-27,2,0,2,"cumulative"
